segment,K,lags,lambda_f,lambda_x,lambda_w,alpha,eta,rmse,runtime
26,1,[1],0.1,0.1,0.1,1000,10.0,0.9293196088301474,2.8463802337646484
27,2,[1],0.1,0.1,0.1,1000,10.0,1.3835092357572791,3.3131332397460938
28,2,[1],0.1,0.1,0.1,1000,10.0,0.6050723257260476,3.3969106674194336
29,2,[1],0.1,0.1,0.1,1000,10.0,0.6777997592332282,3.457747459411621
30,2,[1],0.1,0.1,0.1,1000,10.0,0.6981614391218998,3.3879339694976807
31,1,[1],0.1,0.1,0.1,1000,10.0,1.7388581437956592,2.7496418952941895
0,1,[1],0.1,0.1,0.1,10000,0.1,0.705598314503671,2.9151992797851562
1,1,[1],0.1,0.1,0.1,10000,0.1,0.8165061927061286,2.840399742126465
2,1,[1],0.1,0.1,0.1,10000,0.1,0.5797845406502379,3.0867409706115723
3,1,[1],0.1,0.1,0.1,10000,0.1,1.4493541601459932,2.825438976287842
4,1,[1],0.1,0.1,0.1,10000,0.1,0.7637199207856079,2.889267921447754
5,1,[1],0.1,0.1,0.1,10000,0.1,1.0650487075066268,2.880289077758789
6,1,[1],0.1,0.1,0.1,10000,0.1,0.7032282704805414,2.7975149154663086
7,1,[1],0.1,0.1,0.1,10000,0.1,0.6861850865022776,2.830425977706909
8,2,[1],0.1,0.1,0.1,10000,0.1,0.5684217005712117,3.4308197498321533
9,1,[1],0.1,0.1,0.1,10000,0.1,0.6400589860802879,2.8264362812042236
10,1,[1],0.1,0.1,0.1,10000,0.1,0.7592672269659047,2.841387987136841
11,1,[1],0.1,0.1,0.1,10000,0.1,0.7508914898818451,2.8493764400482178
12,1,[1],0.1,0.1,0.1,10000,0.1,0.7457491550621534,2.8124682903289795
13,1,[1],0.1,0.1,0.1,10000,0.1,0.5951156408921048,2.8613431453704834
14,2,[1],0.1,0.1,0.1,10000,0.1,0.43999008647549315,3.3919241428375244
15,1,[1],0.1,0.1,0.1,10000,0.1,0.8569922049009361,2.8723132610321045
16,2,[1],0.1,0.1,0.1,10000,0.1,0.7163237261434897,3.393916130065918
17,1,[1],0.1,0.1,0.1,10000,0.1,0.7165037914754567,2.9820196628570557
18,1,[1],0.1,0.1,0.1,10000,0.1,0.5642246625037765,2.7755730152130127
19,4,[1],0.1,0.1,0.1,10000,0.1,0.34008086688496336,3.6761624813079834
20,1,[1],0.1,0.1,0.1,10000,0.1,1.122712415490502,2.8104798793792725
21,1,[1],0.1,0.1,0.1,10000,0.1,0.5698161520564516,2.8334176540374756
22,1,[1],0.1,0.1,0.1,10000,0.1,0.7068284638514336,2.8683183193206787
23,2,[1],0.1,0.1,0.1,10000,0.1,0.7179642851271083,3.420846462249756
24,1,[1],0.1,0.1,0.1,10000,0.1,0.6203302574602947,2.7965166568756104
25,2,[1],0.1,0.1,0.1,10000,0.1,0.7435155087868343,3.445779800415039
26,1,[1],0.1,0.1,0.1,10000,0.1,0.6383826508131973,2.811476469039917
27,2,[1],0.1,0.1,0.1,10000,0.1,0.5344349706355772,3.4128670692443848
28,2,[1],0.1,0.1,0.1,10000,0.1,0.5672149899802669,3.4168570041656494
29,2,[1],0.1,0.1,0.1,10000,0.1,0.5576749575819386,3.4048891067504883
30,2,[1],0.1,0.1,0.1,10000,0.1,0.645308568839018,3.3699822425842285
31,1,[1],0.1,0.1,0.1,10000,0.1,0.70252265569495,2.8792941570281982
0,1,[1],0.1,0.1,0.1,10000,1.0,0.705598314503671,2.846383571624756
1,1,[1],0.1,0.1,0.1,10000,1.0,0.8165061927061286,3.3260955810546875
2,1,[1],0.1,0.1,0.1,10000,1.0,0.5797845406502379,2.917191505432129
3,1,[1],0.1,0.1,0.1,10000,1.0,1.4493541601459932,2.7845473289489746
4,1,[1],0.1,0.1,0.1,10000,1.0,0.7637199207856079,2.8573529720306396
5,1,[1],0.1,0.1,0.1,10000,1.0,1.0650487075066268,2.9201862812042236
6,1,[1],0.1,0.1,0.1,10000,1.0,0.7032282704805414,2.9072206020355225
7,1,[1],0.1,0.1,0.1,10000,1.0,0.6861850865022776,2.7715837955474854
8,2,[1],0.1,0.1,0.1,10000,1.0,0.5684217005712117,3.4567418098449707
9,1,[1],0.1,0.1,0.1,10000,1.0,0.6400589860802879,2.8104796409606934
10,1,[1],0.1,0.1,0.1,10000,1.0,0.7592672269659047,2.873312473297119
11,1,[1],0.1,0.1,0.1,10000,1.0,0.7508914898818451,2.7785658836364746
12,1,[1],0.1,0.1,0.1,10000,1.0,0.7457491550621534,2.9221808910369873
13,1,[1],0.1,0.1,0.1,10000,1.0,0.5951156408921048,2.7915291786193848
14,2,[1],0.1,0.1,0.1,10000,1.0,0.43999008647549315,3.5425198078155518
15,1,[1],0.1,0.1,0.1,10000,1.0,0.8569922049009361,2.8673274517059326
16,2,[1],0.1,0.1,0.1,10000,1.0,0.7163237261434897,3.460740327835083
17,1,[1],0.1,0.1,0.1,10000,1.0,0.7165037914754567,2.791529655456543
18,1,[1],0.1,0.1,0.1,10000,1.0,0.5642246625037765,2.9132046699523926
19,4,[1],0.1,0.1,0.1,10000,1.0,0.34008086688496336,3.587399482727051
20,1,[1],0.1,0.1,0.1,10000,1.0,1.122712415490502,2.864335298538208
21,1,[1],0.1,0.1,0.1,10000,1.0,0.5698161520564516,2.8324203491210938
22,1,[1],0.1,0.1,0.1,10000,1.0,0.7068284638514336,2.8693220615386963
23,2,[1],0.1,0.1,0.1,10000,1.0,0.7179642851271083,3.359010696411133
24,1,[1],0.1,0.1,0.1,10000,1.0,0.6203302574602947,2.9072206020355225
25,2,[1],0.1,0.1,0.1,10000,1.0,0.7435155087868343,3.395911455154419
26,1,[1],0.1,0.1,0.1,10000,1.0,0.6383826508131973,2.963071346282959
27,2,[1],0.1,0.1,0.1,10000,1.0,0.5344349706355772,3.4028947353363037
28,2,[1],0.1,0.1,0.1,10000,1.0,0.5672149899802669,3.449767827987671
29,2,[1],0.1,0.1,0.1,10000,1.0,0.5576749575819386,3.3560187816619873
30,2,[1],0.1,0.1,0.1,10000,1.0,0.645308568839018,3.495645523071289
31,1,[1],0.1,0.1,0.1,10000,1.0,0.70252265569495,2.792527437210083
0,1,[1],0.1,0.1,0.1,10000,10.0,0.705598314503671,2.87131667137146
1,1,[1],0.1,0.1,0.1,10000,10.0,0.8165061927061286,2.833418369293213
2,1,[1],0.1,0.1,0.1,10000,10.0,0.5797845406502379,2.86633038520813
3,1,[1],0.1,0.1,0.1,10000,10.0,1.4493541601459932,2.786543846130371
4,1,[1],0.1,0.1,0.1,10000,10.0,0.7637199207856079,2.9331507682800293
5,1,[1],0.1,0.1,0.1,10000,10.0,1.0650487075066268,2.7875406742095947
6,1,[1],0.1,0.1,0.1,10000,10.0,0.7032282704805414,2.8643336296081543
7,1,[1],0.1,0.1,0.1,10000,10.0,0.6861850865022776,2.8214499950408936
8,2,[1],0.1,0.1,0.1,10000,10.0,0.5684217005712117,3.4677200317382812
9,1,[1],0.1,0.1,0.1,10000,10.0,0.6400589860802879,2.8344151973724365
10,1,[1],0.1,0.1,0.1,10000,10.0,0.7592672269659047,2.904229164123535
11,1,[1],0.1,0.1,0.1,10000,10.0,0.7508914898818451,2.828429937362671
12,1,[1],0.1,0.1,0.1,10000,10.0,0.7457491550621534,2.908217191696167
13,1,[1],0.1,0.1,0.1,10000,10.0,0.5951156408921048,2.800504684448242
14,2,[1],0.1,0.1,0.1,10000,10.0,0.43999008647549315,3.5006330013275146
15,1,[1],0.1,0.1,0.1,10000,10.0,0.8569922049009361,2.798511505126953
16,2,[1],0.1,0.1,0.1,10000,10.0,0.7163237261434897,3.4707131385803223
17,1,[1],0.1,0.1,0.1,10000,10.0,0.7165037914754567,2.8234450817108154
18,1,[1],0.1,0.1,0.1,10000,10.0,0.5642246625037765,2.862339973449707
19,4,[1],0.1,0.1,0.1,10000,10.0,0.34008086688496336,3.565459966659546
20,1,[1],0.1,0.1,0.1,10000,10.0,1.122712415490502,2.9032318592071533
21,1,[1],0.1,0.1,0.1,10000,10.0,0.5698161520564516,2.7915306091308594
22,1,[1],0.1,0.1,0.1,10000,10.0,0.7068284638514336,2.9012365341186523
23,2,[1],0.1,0.1,0.1,10000,10.0,0.7179642851271083,3.4048874378204346
24,1,[1],0.1,0.1,0.1,10000,10.0,0.6203302574602947,2.8753058910369873
25,2,[1],0.1,0.1,0.1,10000,10.0,0.7435155087868343,3.369981288909912
26,1,[1],0.1,0.1,0.1,10000,10.0,0.6383826508131973,2.9062232971191406
27,2,[1],0.1,0.1,0.1,10000,10.0,0.5344349706355772,3.3829476833343506
28,2,[1],0.1,0.1,0.1,10000,10.0,0.5672149899802669,3.675166606903076
29,2,[1],0.1,0.1,0.1,10000,10.0,0.5576749575819386,3.7300174236297607
30,2,[1],0.1,0.1,0.1,10000,10.0,0.645308568839018,3.3819503784179688
31,1,[1],0.1,0.1,0.1,10000,10.0,0.70252265569495,2.850372552871704
0,1,[1],0.1,0.1,1.0,100,0.1,0.8568346299443281,3.676164150238037
1,1,[1],0.1,0.1,1.0,100,0.1,0.9380517802489043,3.335075855255127
2,1,[1],0.1,0.1,1.0,100,0.1,0.4738561218866993,3.129624128341675
3,1,[1],0.1,0.1,1.0,100,0.1,2.3713779866111437,2.8653323650360107
4,1,[1],0.1,0.1,1.0,100,0.1,1.739309509487585,2.9361417293548584
5,1,[1],0.1,0.1,1.0,100,0.1,1.4463269773812497,2.961076021194458
6,1,[1],0.1,0.1,1.0,100,0.1,1.109851075383773,3.2313520908355713
7,1,[1],0.1,0.1,1.0,100,0.1,0.9886224991544413,2.9690544605255127
8,2,[1],0.1,0.1,1.0,100,0.1,0.49801247753047917,3.8995652198791504
9,1,[1],0.1,0.1,1.0,100,0.1,0.6337608973000531,3.0209169387817383
10,1,[1],0.1,0.1,1.0,100,0.1,1.0894645813811863,3.0428574085235596
11,1,[1],0.1,0.1,1.0,100,0.1,1.0266891933230713,3.0498387813568115
12,1,[1],0.1,0.1,1.0,100,0.1,1.0712663766624135,3.477693796157837
13,1,[1],0.1,0.1,1.0,100,0.1,1.52615169191865,2.877300977706909
14,2,[1],0.1,0.1,1.0,100,0.1,1.254606277002404,3.762929677963257
15,1,[1],0.1,0.1,1.0,100,0.1,1.670070494864175,2.9082181453704834
16,2,[1],0.1,0.1,1.0,100,0.1,0.7470568922397328,3.9833412170410156
17,1,[1],0.1,0.1,1.0,100,0.1,1.0772727632545587,3.037872314453125
